Marca,Modelo,Alemania (€),Países Bajos (€),Reino Unido (£),Precio_Rango,Rango,Bateria,Eficiencia,Peso,Remolque,Carga_Rapida,Carga_Vol,Rango_1_parada,Traccion_trasera,Traccion_delantera,Segmento_mercado,Clasificacion_seguridad,Numero_asientos,Bomba_calor,Carga_bidireccional,Imagen_tag,Sitio
BYD,SEAL U 87 kWh Design,No disponible,No disponible,No disponible,107,425 km,87.0 kWh,205 Wh/km,2222 kg,1300,85,552,418,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BYD_SEAL_U/BYD_SEAL_U-01-thumb.jpg,https://ev-database.org/
NIO,ET5 Long Range,No disponible,No disponible,No disponible,140,500 km,90.0 kWh,180 Wh/km,2235 kg,1400,100,386,494,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/NIO_ET5/NIO_ET5-01-thumb.jpg,https://ev-database.org/
Audi,e-tron 50 quattro,"€69,100","€62,700","£60,600",240,280 km,64.7 kWh,231 Wh/km,2445 kg,1800,114,660,299,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Audi_e-tron-50-quattro/Audi_e-tron-50-quattro-01-thumb.jpg,https://ev-database.org/
Volkswagen,ID.3 Pro,"€39,995","€39,990","£44,990",125,350 km,58.0 kWh,166 Wh/km,1815 kg,0,82,385,378,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Volkswagen_ID3_2023/Volkswagen_ID3_2023-01-thumb.jpg,https://ev-database.org/
Mercedes-Benz,CLA 350 4MATIC,No disponible,No disponible,No disponible,110,550 km,85.0 kWh,155 Wh/km,2135 kg,1800,170,506,682,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Mercedes_CLA/Mercedes_CLA-01-thumb.jpg,https://ev-database.org/
Nissan,Ariya 87kWh,No disponible,No disponible,No disponible,111,450 km,87.0 kWh,193 Wh/km,2121 kg,750,110,468,445,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Nissan_Ariya/Nissan_Ariya-01-thumb.jpg,https://ev-database.org/
Opel,Corsa-e,"€36,395","€36,999","£33,930",127,295 km,46.3 kWh,157 Wh/km,1530 kg,0,78,309,321,No disponible,No disponible,No disponible,4,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Opel_Corsa-e/Opel_Corsa-e-01-thumb.jpg,https://ev-database.org/
Audi,A6 Sportback e-tron performance,No disponible,No disponible,No disponible,127,610 km,94.9 kWh,156 Wh/km,2250 kg,2100,200,529,747,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Audi_A6_Sportback_etron_2024/Audi_A6_Sportback_etron_2024-01-thumb.jpg,https://ev-database.org/
Audi,Q4 e-tron 45,No disponible,No disponible,No disponible,129,420 km,77.0 kWh,183 Wh/km,2145 kg,1000,120,520,460,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Audi_Q4_e-tron_2021/Audi_Q4_e-tron_2021-01-thumb.jpg,https://ev-database.org/
Skoda,Enyaq iV 80,"€48,900","€48,990","£42,925",112,440 km,77.0 kWh,175 Wh/km,2075 kg,1000,125,585,468,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Skoda_Enyaq_iV_2020/Skoda_Enyaq_iV_2020-01-thumb.jpg,https://ev-database.org/
BMW,iX xDrive50,"€100,100","€105,097","£102,755",213,505 km,105.2 kWh,208 Wh/km,2585 kg,2500,149,500,538,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BMW_iX_2022/BMW_iX_2022-01-thumb.jpg,https://ev-database.org/
MG,MG5 Electric Long Range,"€38,490",No disponible,No disponible,112,335 km,57.4 kWh,171 Wh/km,1637 kg,500,60,479,325,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/MG_MG5_Electric_2021/MG_MG5_Electric_2021-01-thumb.jpg,https://ev-database.org/
Hyundai,IONIQ 6 Long Range 2WD,No disponible,No disponible,No disponible,107,495 km,74.0 kWh,149 Wh/km,1985 kg,1500,200,446,637,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Hyundai_IONIQ6_2022/Hyundai_IONIQ6_2022-01-thumb.jpg,https://ev-database.org/
XPENG,G6 RWD Long Range,No disponible,No disponible,No disponible,104,480 km,87.5 kWh,182 Wh/km,2100 kg,0,180,571,574,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/XPENG_G6/XPENG_G6-01-thumb.jpg,https://ev-database.org/
Tesla,Model S 100D,"€108,420","€113,320","£89,650",223,485 km,95.0 kWh,196 Wh/km,2290 kg,0,100,895,486,No disponible,No disponible,No disponible,-1,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Tesla_Model_S_2016/Tesla_Model_S_2016-01-thumb.jpg,https://ev-database.org/
Peugeot,e-3008 97 kWh Long Range,No disponible,No disponible,No disponible,106,500 km,96.9 kWh,194 Wh/km,2241 kg,1200,135,588,512,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Peugeot_e-3008_2024/Peugeot_e-3008_2024-01-thumb.jpg,https://ev-database.org/
Audi,A6 Avant e-tron performance,No disponible,No disponible,No disponible,138,575 km,94.9 kWh,165 Wh/km,2260 kg,2100,200,529,699,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Audi_A6_Avant_etron_2024/Audi_A6_Avant_etron_2024-01-thumb.jpg,https://ev-database.org/
BMW,iX1 eDrive20,No disponible,No disponible,No disponible,127,390 km,64.7 kWh,166 Wh/km,1940 kg,750,93,490,418,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BMW_iX1_2022/BMW_iX1_2022-01-thumb.jpg,https://ev-database.org/
Mazda,6e 68.8 kWh,No disponible,No disponible,No disponible,114,390 km,66.0 kWh,169 Wh/km,2028 kg,1500,120,526,455,,,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Mazda_6e/Mazda_6e-01-thumb.jpg,https://ev-database.org/
Volkswagen,ID.4 Pro Performance,"€46,335","€53,690","£46,035",124,410 km,77.0 kWh,188 Wh/km,2109 kg,1000,125,543,436,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Volkswagen_ID4/Volkswagen_ID4-01-thumb.jpg,https://ev-database.org/
Voyah,Free 106 kWh,No disponible,No disponible,No disponible,138,480 km,100.0 kWh,208 Wh/km,2415 kg,2000,80,622,433,No disponible,No disponible,No disponible,-1,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Voyah_Free/Voyah_Free-01-thumb.jpg,https://ev-database.org/
Tesla,Model 3 Long Range AWD,"€55,480","€59,995","£46,990",124,455 km,73.5 kWh,162 Wh/km,1931 kg,1000,163,542,560,No disponible,No disponible,No disponible,5,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Tesla_Model_3/Tesla_Model_3-01-thumb.jpg,https://ev-database.org/
Volkswagen,ID.7 Pro S,No disponible,No disponible,No disponible,114,525 km,86.0 kWh,164 Wh/km,2226 kg,1000,145,532,600,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Volkswagen_ID7/Volkswagen_ID7-01-thumb.jpg,https://ev-database.org/
Dongfeng,Box 42.3 kWh,No disponible,No disponible,No disponible,96,255 km,40.0 kWh,157 Wh/km,1430 kg,0,53,326,253,No disponible,No disponible,No disponible,-1,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Dongfeng_Box/Dongfeng_Box-01-thumb.jpg,https://ev-database.org/
Skoda,Enyaq 85,"€48,900","€50,990","£44,540",112,450 km,77.0 kWh,171 Wh/km,2137 kg,1000,120,585,467,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Skoda_Enyaq_iV_2020/Skoda_Enyaq_iV_2020-01-thumb.jpg,https://ev-database.org/
Citroen,e-C3 Aircross,No disponible,No disponible,No disponible,112,240 km,44.0 kWh,183 Wh/km,1579 kg,350,60,460,253,No disponible,No disponible,No disponible,-1,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Citroen_e-C3_Aircross/Citroen_e-C3_Aircross-01-thumb.jpg,https://ev-database.org/
Tesla,Model 3 Performance,"€59,560","€64,990","£59,990",137,470 km,76.0 kWh,162 Wh/km,1919 kg,0,135,649,555,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Tesla_Model_3_2021/Tesla_Model_3_2021-01-thumb.jpg,https://ev-database.org/
Tesla,Model S 75D,"€71,019","€91,720","£72,350",216,380 km,72.5 kWh,191 Wh/km,2183 kg,0,80,804,386,No disponible,No disponible,No disponible,-1,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Tesla_Model_S_2016/Tesla_Model_S_2016-01-thumb.jpg,https://ev-database.org/
Kia,EV6 Long Range AWD,No disponible,No disponible,No disponible,128,440 km,80.0 kWh,182 Wh/km,2160 kg,1800,205,510,549,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Kia_EV6_2024/Kia_EV6_2024-01-thumb.jpg,https://ev-database.org/
BMW,iX xDrive60,No disponible,No disponible,No disponible,195,525 km,109.1 kWh,208 Wh/km,2580 kg,2500,150,500,554,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BMW_iX_2025/BMW_iX_2025-01-thumb.jpg,https://ev-database.org/
Hyundai,Kona Electric 64 kWh,"€41,850","€41,595","£39,150",110,390 km,64.0 kWh,164 Wh/km,1760 kg,0,64,361,363,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Hyundai_Kona_Electric_2020/Hyundai_Kona_Electric_2020-01-thumb.jpg,https://ev-database.org/
Zeekr,001 Long Range RWD,No disponible,No disponible,No disponible,118,505 km,94.0 kWh,186 Wh/km,2275 kg,1500,135,539,547,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Zeekr_001_2023/Zeekr_001_2023-01-thumb.jpg,https://ev-database.org/
Citroen,e-C4,"€34,875","€37,205","£31,960",125,290 km,46.3 kWh,160 Wh/km,1636 kg,0,78,380,318,No disponible,No disponible,No disponible,4,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Citroen_e-C4/Citroen_e-C4-01-thumb.jpg,https://ev-database.org/
Hyundai,IONIQ 5 63 kWh RWD (MY24),No disponible,No disponible,No disponible,128,345 km,60.0 kWh,174 Wh/km,1955 kg,750,150,577,423,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Hyundai_IONIQ5_2024/Hyundai_IONIQ5_2024-01-thumb.jpg,https://ev-database.org/
Smart,#5 Brabus,No disponible,No disponible,No disponible,138,450 km,94.0 kWh,209 Wh/km,2378 kg,1600,230,677,561,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Smart_5_Brabus_2025/Smart_5_Brabus_2025-01-thumb.jpg,https://ev-database.org/
BMW,i4 eDrive35,No disponible,No disponible,No disponible,137,430 km,67.1 kWh,156 Wh/km,2075 kg,1600,95,470,486,,,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BMW_i4_2024/BMW_i4_2024-01-thumb.jpg,https://ev-database.org/
Kia,e-Niro 64 kWh,"€42,790","€38,995","£34,995",108,375 km,64.0 kWh,171 Wh/km,1812 kg,300,64,451,349,No disponible,No disponible,No disponible,4,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Kia_e-Niro-2020/Kia_e-Niro-2020-01-thumb.jpg,https://ev-database.org/
Hongqi,E-HS9 99 kWh,No disponible,No disponible,No disponible,216,370 km,90.0 kWh,243 Wh/km,2705 kg,1500,112,438,367,No disponible,No disponible,No disponible,5,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Hongqi_E-HS9/Hongqi_E-HS9-01-thumb.jpg,https://ev-database.org/
BMW,i5 eDrive40 Sedan,"€70,200","€78,608","£74,105",166,470 km,81.2 kWh,173 Wh/km,2205 kg,1500,136,490,535,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BMW_i5_eDrive40_Sedan/BMW_i5_eDrive40_Sedan-01-thumb.jpg,https://ev-database.org/
Kia,EV4 Hatchback Long Range,No disponible,No disponible,No disponible,96,475 km,78.0 kWh,164 Wh/km,1900 kg,0,105,435,498,No disponible,No disponible,No disponible,-1,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Kia_EV4_hatchback_2025/Kia_EV4_hatchback_2025-01-thumb.jpg,https://ev-database.org/
Smart,EQ fortwo coupe,"€21,940","€24,885","£22,225",241,100 km,16.7 kWh,167 Wh/km,1095 kg,0,0,260,71,,,No disponible,-1,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Smart_fortwo_2020/Smart_fortwo_2020-01-thumb.jpg,https://ev-database.org/
Lexus,RZ 450e,No disponible,No disponible,No disponible,183,350 km,64.0 kWh,183 Wh/km,2130 kg,750,100,522,384,No disponible,No disponible,No disponible,5,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Lexus_RZ_450e/Lexus_RZ_450e-01-thumb.jpg,https://ev-database.org/
Dacia,Spring Electric 45,No disponible,No disponible,No disponible,107,165 km,25.0 kWh,152 Wh/km,1009 kg,0,29,343,151,No disponible,No disponible,No disponible,-1,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Dacia_Spring_Electric_2024/Dacia_Spring_Electric_2024-01-thumb.jpg,https://ev-database.org/
Lucid,Air Grand Touring,No disponible,No disponible,No disponible,196,665 km,112.0 kWh,168 Wh/km,2435 kg,0,184,739,763,No disponible,No disponible,No disponible,5,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Lucid_Air/Lucid_Air-01-thumb.jpg,https://ev-database.org/
BMW,i7 xDrive60,No disponible,No disponible,No disponible,272,510 km,101.7 kWh,199 Wh/km,2715 kg,2000,159,500,564,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BMW_i7_2022/BMW_i7_2022-01-thumb.jpg,https://ev-database.org/
Zeekr,7X Performance AWD,No disponible,No disponible,No disponible,142,450 km,94.0 kWh,209 Wh/km,2535 kg,2000,260,581,583,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Zeekr_7X_2024/Zeekr_7X_2024-01-thumb.jpg,https://ev-database.org/
Tesla,Model 3 RWD (CATL LFP60),"€44,668","€42,993","£42,990",113,405 km,57.5 kWh,142 Wh/km,1835 kg,1000,100,649,471,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Tesla_Model_3_2021/Tesla_Model_3_2021-01-thumb.jpg,https://ev-database.org/
MG,MG4 Electric 51 kWh,No disponible,No disponible,No disponible,109,300 km,50.8 kWh,169 Wh/km,1710 kg,500,68,363,306,,,No disponible,5,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/MG_MG4_Electric_2022/MG_MG4_Electric_2022-01-thumb.jpg,https://ev-database.org/
Peugeot,e-3008 73 kWh,No disponible,No disponible,No disponible,129,380 km,73.0 kWh,192 Wh/km,2183 kg,1250,90,588,397,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Peugeot_e-3008_2024/Peugeot_e-3008_2024-01-thumb.jpg,https://ev-database.org/
Audi,Q4 e-tron 40,"€51,900","€59,415","£50,630",140,405 km,76.6 kWh,189 Wh/km,2125 kg,1000,125,520,430,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Audi_Q4_e-tron_2021/Audi_Q4_e-tron_2021-01-thumb.jpg,https://ev-database.org/
CUPRA,Tavascan Endurance,No disponible,No disponible,No disponible,120,445 km,77.0 kWh,173 Wh/km,2178 kg,1000,120,540,467,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/CUPRA_Tavascan_2024/CUPRA_Tavascan_2024-01-thumb.jpg,https://ev-database.org/
BYD,SEAL U 71.8 kWh Comfort,No disponible,No disponible,No disponible,118,360 km,71.8 kWh,199 Wh/km,2095 kg,1300,72,552,352,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BYD_SEAL_U/BYD_SEAL_U-01-thumb.jpg,https://ev-database.org/
Tesla,Model 3 Performance,"€57,668","€54,993","£57,990",130,460 km,75.0 kWh,163 Wh/km,1919 kg,0,124,649,543,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Tesla_Model_3_2021/Tesla_Model_3_2021-01-thumb.jpg,https://ev-database.org/
Jeep,Avenger Electric,No disponible,No disponible,No disponible,127,310 km,50.8 kWh,164 Wh/km,1595 kg,0,85,355,327,No disponible,No disponible,No disponible,3,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Jeep_Avenger/Jeep_Avenger-01-thumb.jpg,https://ev-database.org/
BMW,i4 M50,"€70,800","€76,786","£71,085",170,450 km,80.7 kWh,179 Wh/km,2290 kg,1600,131,470,510,No disponible,No disponible,No disponible,4,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BMW_i4_M50/BMW_i4_M50-01-thumb.jpg,https://ev-database.org/
Honda,e:Ny1,No disponible,No disponible,No disponible,130,335 km,61.9 kWh,185 Wh/km,1730 kg,0,60,361,318,No disponible,No disponible,No disponible,-1,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Honda_e:Ny1/Honda_e:Ny1-01-thumb.jpg,https://ev-database.org/
Leapmotor,C10,No disponible,No disponible,No disponible,112,350 km,69.9 kWh,200 Wh/km,2055 kg,1500,70,435,326,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Leapmotor_C10/Leapmotor_C10-01-thumb.jpg,https://ev-database.org/
Hyundai,INSTER Standard Range,No disponible,No disponible,No disponible,98,255 km,39.0 kWh,153 Wh/km,1380 kg,0,60,280,266,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Hyundai_Inster_2025/Hyundai_Inster_2025-01-thumb.jpg,https://ev-database.org/
Volkswagen,ID.3 Pro S,No disponible,No disponible,No disponible,95,465 km,77.0 kWh,166 Wh/km,1957 kg,0,120,385,511,,,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Volkswagen_ID3_2024/Volkswagen_ID3_2024-01-thumb.jpg,https://ev-database.org/
Hyundai,IONIQ 5 Standard Range 2WD (MY21),"€43,900","€49,295","£43,445",162,295 km,54.0 kWh,183 Wh/km,1905 kg,750,140,588,367,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Hyundai_IONIQ5_2021/Hyundai_IONIQ5_2021-01-thumb.jpg,https://ev-database.org/
Polestar,2 Long Range Dual Motor,"€54,995","€56,200","£49,550",144,390 km,75.0 kWh,192 Wh/km,2188 kg,1500,108,440,419,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Polestar_2_2022/Polestar_2_2022-01-thumb.jpg,https://ev-database.org/
Peugeot,e-2008 54 kWh,No disponible,No disponible,No disponible,138,300 km,50.8 kWh,169 Wh/km,1623 kg,0,85,434,324,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Peugeot_e-2008_2024/Peugeot_e-2008_2024-01-thumb.jpg,https://ev-database.org/
CUPRA,Born 170 kW - 77 kWh,"€46,450","€46,989","£39,625",103,450 km,77.0 kWh,171 Wh/km,1946 kg,0,115,385,488,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Cupra_el-Born/Cupra_el-Born-01-thumb.jpg,https://ev-database.org/
Hyundai,IONIQ 5 N (MY24),No disponible,No disponible,No disponible,191,390 km,80.0 kWh,205 Wh/km,2225 kg,0,205,480,482,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Hyundai_IONIQ5_N_2024/Hyundai_IONIQ5_N_2024-01-thumb.jpg,https://ev-database.org/
Peugeot,e-208,"€39,100","€34,920","£31,595",129,285 km,46.3 kWh,162 Wh/km,1530 kg,0,78,265,311,No disponible,No disponible,No disponible,4,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Peugeot_e-208_GT/Peugeot_e-208_GT-01-thumb.jpg,https://ev-database.org/
Opel,Astra Electric,No disponible,No disponible,No disponible,127,320 km,50.8 kWh,159 Wh/km,1736 kg,0,85,352,343,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Opel_Astra_Electric/Opel_Astra_Electric-01-thumb.jpg,https://ev-database.org/
Audi,Q6 e-tron quattro,No disponible,No disponible,No disponible,161,480 km,94.9 kWh,198 Wh/km,2400 kg,2400,200,590,567,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Audi_Q6_etron_2024/Audi_Q6_etron_2024-01-thumb.jpg,https://ev-database.org/
Volkswagen,ID.3 Pro,"€35,460","€38,390","£30,700",104,350 km,58.0 kWh,166 Wh/km,1812 kg,0,82,385,378,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Volkswagen_ID3/Volkswagen_ID3-01-thumb.jpg,https://ev-database.org/
Renault,4 E-Tech 52kWh 150hp,No disponible,No disponible,No disponible,103,315 km,52.0 kWh,165 Wh/km,1537 kg,750,70,420,326,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Renault_4_ETech/Renault_4_ETech-01-thumb.jpg,https://ev-database.org/
Ford,Capri Extended Range AWD,No disponible,No disponible,No disponible,128,455 km,79.0 kWh,174 Wh/km,2175 kg,1200,135,572,517,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Ford_Capri_2024/Ford_Capri_2024-01-thumb.jpg,https://ev-database.org/
Hyundai,IONIQ 5 Long Range AWD (MY22),"€59,200","€60,995","£50,445",154,385 km,74.0 kWh,192 Wh/km,2120 kg,1600,200,551,484,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Hyundai_IONIQ5_2021/Hyundai_IONIQ5_2021-01-thumb.jpg,https://ev-database.org/
Volkswagen,ID.3 Pure,No disponible,No disponible,No disponible,105,325 km,52.0 kWh,160 Wh/km,1787 kg,0,90,385,376,,,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Volkswagen_ID3_2024/Volkswagen_ID3_2024-01-thumb.jpg,https://ev-database.org/
Hyundai,IONIQ Electric,"€33,300","€33,995","£27,250",173,190 km,28.0 kWh,147 Wh/km,1495 kg,0,65,350,225,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Hyundai_IONIQ_Electric/Hyundai_IONIQ_Electric-01-thumb.jpg,https://ev-database.org/
Omoda,E5,No disponible,No disponible,No disponible,110,345 km,61.0 kWh,177 Wh/km,1785 kg,0,60,380,329,No disponible,No disponible,No disponible,-1,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Omoda_E5_2024/Omoda_E5_2024-01-thumb.jpg,https://ev-database.org/
Mazda,MX-30,"€35,990","€36,440","£31,250",212,170 km,30.0 kWh,176 Wh/km,1720 kg,0,32,366,167,No disponible,No disponible,No disponible,5,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Mazda_MX-30/Mazda_MX-30-01-thumb.jpg,https://ev-database.org/
Ford,Capri Standard Range RWD,No disponible,No disponible,No disponible,141,320 km,52.0 kWh,163 Wh/km,1914 kg,1000,85,572,357,,,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Ford_Capri_2024/Ford_Capri_2024-01-thumb.jpg,https://ev-database.org/
Tesla,Model Y Long Range AWD Launch Series (Juniper),"€61,970","€61,990","£60,990",144,450 km,75.0 kWh,167 Wh/km,2072 kg,1600,124,971,531,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Tesla_Model_Y_2025/Tesla_Model_Y_2025-01-thumb.jpg,https://ev-database.org/
Tesla,Model X 100D,"€115,000","€117,820","£91,650",259,435 km,95.0 kWh,218 Wh/km,2533 kg,2250,100,0,434,No disponible,No disponible,No disponible,-1,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Tesla_Model_X/Tesla_Model_X-01-thumb.jpg,https://ev-database.org/
Dacia,Spring Electric 45,"€22,550","€21,750",No disponible,134,165 km,25.0 kWh,152 Wh/km,1012 kg,0,29,300,151,No disponible,No disponible,No disponible,1,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Dacia_Spring_Electric_2022/Dacia_Spring_Electric_2022-01-thumb.jpg,https://ev-database.org/
Zeekr,001 Performance AWD,No disponible,No disponible,No disponible,134,480 km,94.0 kWh,196 Wh/km,2410 kg,2000,135,539,524,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Zeekr_001_2023/Zeekr_001_2023-01-thumb.jpg,https://ev-database.org/
BYD,SEAL 61.4 kWh RWD Comfort,No disponible,No disponible,No disponible,114,365 km,61.4 kWh,168 Wh/km,2045 kg,750,75,453,384,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BYD_SEAL/BYD_SEAL-01-thumb.jpg,https://ev-database.org/
Zeekr,X Privilege AWD,No disponible,No disponible,No disponible,141,345 km,64.0 kWh,186 Wh/km,2035 kg,1600,114,362,389,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Zeekr_X_2023/Zeekr_X_2023-01-thumb.jpg,https://ev-database.org/
Kia,EV4 Sedan Long Range,No disponible,No disponible,No disponible,92,495 km,78.0 kWh,158 Wh/km,1900 kg,0,105,490,518,No disponible,No disponible,No disponible,-1,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Kia_EV4_sedan_2025/Kia_EV4_sedan_2025-01-thumb.jpg,https://ev-database.org/
Mercedes-Benz,EQE 350+,No disponible,No disponible,No disponible,136,555 km,96.0 kWh,173 Wh/km,2415 kg,750,141,430,597,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Mercedes_EQE/Mercedes_EQE-01-thumb.jpg,https://ev-database.org/
Volvo,EX40 Single Motor ER (MY26),No disponible,No disponible,No disponible,133,400 km,79.0 kWh,198 Wh/km,2075 kg,1500,125,441,441,,,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Volvo_EX40_2025/Volvo_EX40_2025-01-thumb.jpg,https://ev-database.org/
Peugeot,e-5008 73 kWh,No disponible,No disponible,No disponible,140,370 km,73.0 kWh,197 Wh/km,2260 kg,1000,90,348,388,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Peugeot_e-5008_2024/Peugeot_e-5008_2024-01-thumb.jpg,https://ev-database.org/
Audi,Q8 e-tron 55 quattro,"€87,300","€78,990","£80,715",171,505 km,106.0 kWh,210 Wh/km,2585 kg,1800,144,631,515,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Audi_Q8-etron-2023/Audi_Q8-etron-2023-01-thumb.jpg,https://ev-database.org/
