Marca,Modelo,Alemania (€),Países Bajos (€),Reino Unido (£),Precio_Rango,Rango,Bateria,Eficiencia,Peso,Remolque,Carga_Rapida,Carga_Vol,Rango_1_parada,Traccion_trasera,Traccion_delantera,Segmento_mercado,Clasificacion_seguridad,Numero_asientos,Bomba_calor,Carga_bidireccional,Imagen_tag,Sitio
BMW,iX xDrive40,"€77,300","€84,998","£69,905",225,360 km,71.0 kWh,197 Wh/km,2440 kg,2500,102,500,388,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BMW_iX_2022/BMW_iX_2022-01-thumb.jpg,https://ev-database.org/
Mercedes-Benz,EQS 450+,No disponible,No disponible,No disponible,173,685 km,118.0 kWh,172 Wh/km,2545 kg,750,160,620,731,,,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Mercedes_EQS_2024/Mercedes_EQS_2024-01-thumb.jpg,https://ev-database.org/
Kia,Niro EV,No disponible,No disponible,No disponible,110,385 km,64.8 kWh,168 Wh/km,1757 kg,750,70,495,365,No disponible,No disponible,No disponible,4,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Kia-NiroEV-2022/Kia-NiroEV-2022-01-thumb.jpg,https://ev-database.org/
Hyundai,Kona Electric 65 kWh,No disponible,No disponible,No disponible,116,390 km,65.4 kWh,168 Wh/km,1773 kg,750,86,493,391,No disponible,No disponible,No disponible,4,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Hyundai_Kona_Electric_2024/Hyundai_Kona_Electric_2024-01-thumb.jpg,https://ev-database.org/
Volkswagen,e-Golf,"€31,900","€34,005","£28,075",172,190 km,32.0 kWh,168 Wh/km,1615 kg,0,39,341,178,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Volkswagen_e-Golf-2017/Volkswagen_e-Golf-2017-01-thumb.jpg,https://ev-database.org/
Hyundai,INSTER Long Range,No disponible,No disponible,No disponible,89,300 km,46.0 kWh,153 Wh/km,1410 kg,0,70,280,311,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Hyundai_Inster_2025/Hyundai_Inster_2025-01-thumb.jpg,https://ev-database.org/
Volvo,EX30 Single Motor ER (MY24-26),No disponible,No disponible,No disponible,118,360 km,64.0 kWh,178 Wh/km,1850 kg,1600,114,325,405,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Volvo_EX30_2024/Volvo_EX30_2024-01-thumb.jpg,https://ev-database.org/
BYD,TANG Flagship,No disponible,No disponible,No disponible,149,460 km,108.8 kWh,237 Wh/km,2705 kg,1500,100,235,444,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BYD_TANG_2024/BYD_TANG_2024-01-thumb.jpg,https://ev-database.org/
BYD,DOLPHIN SURF 30 kWh Active,No disponible,No disponible,No disponible,121,190 km,30.0 kWh,158 Wh/km,1369 kg,0,45,308,199,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BYD_DOLPHIN_SURF/BYD_DOLPHIN_SURF-01-thumb.jpg,https://ev-database.org/
Fiat,500e Hatchback 42 kWh,No disponible,No disponible,No disponible,144,235 km,37.3 kWh,159 Wh/km,1365 kg,0,67,185,261,No disponible,No disponible,No disponible,4,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Fiat_500e_Hatchback_2020/Fiat_500e_Hatchback_2020-01-thumb.jpg,https://ev-database.org/
Audi,e-tron 55 quattro,"€81,500","€66,415","£72,935",212,365 km,86.5 kWh,237 Wh/km,2565 kg,1800,146,660,384,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Audi_e-tron/Audi_e-tron-01-thumb.jpg,https://ev-database.org/
MG,MGS5  EV 64 kWh,No disponible,No disponible,No disponible,108,365 km,62.1 kWh,170 Wh/km,1755 kg,750,90,453,387,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/MG_MGS5_EV_Electric_2025/MG_MGS5_EV_Electric_2025-01-thumb.jpg,https://ev-database.org/
Hyundai,IONIQ 5 84 kWh RWD (MY24),No disponible,No disponible,No disponible,110,450 km,80.0 kWh,178 Wh/km,2060 kg,1600,205,577,560,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Hyundai_IONIQ5_2024/Hyundai_IONIQ5_2024-01-thumb.jpg,https://ev-database.org/
Nissan,Leaf,"€29,990","€33,340","£28,290",136,235 km,39.0 kWh,166 Wh/km,1580 kg,0,40,435,218,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Nissan_Leaf_2018/Nissan_Leaf_2018-01-thumb.jpg,https://ev-database.org/
BYD,DOLPHIN SURF 43.2 kWh Comfort,No disponible,No disponible,No disponible,101,265 km,43.2 kWh,163 Wh/km,1465 kg,0,60,308,275,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BYD_DOLPHIN_SURF/BYD_DOLPHIN_SURF-01-thumb.jpg,https://ev-database.org/
Lynk&Co,02,No disponible,No disponible,No disponible,93,375 km,66.0 kWh,176 Wh/km,1820 kg,1600,90,425,405,,,No disponible,-1,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/LynkCo_02_2024/LynkCo_02_2024-01-thumb.jpg,https://ev-database.org/
Tesla,Model 3 Standard Range Plus (PANA 2170L),"€45,560","€49,990","£40,990",136,350 km,51.0 kWh,146 Wh/km,1700 kg,1000,105,649,421,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Tesla_Model_3_2021/Tesla_Model_3_2021-01-thumb.jpg,https://ev-database.org/
Tesla,Model 3 Performance (Highland),No disponible,No disponible,No disponible,126,490 km,75.0 kWh,153 Wh/km,1929 kg,0,124,682,585,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Tesla_Model_3_Performance_2024/Tesla_Model_3_Performance_2024-01-thumb.jpg,https://ev-database.org/
BMW,iX1 xDrive30,No disponible,No disponible,No disponible,147,380 km,64.7 kWh,170 Wh/km,2085 kg,1200,93,490,407,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BMW_iX1_2022/BMW_iX1_2022-01-thumb.jpg,https://ev-database.org/
Rolls-Royce,Spectre,No disponible,No disponible,No disponible,828,465 km,102.0 kWh,219 Wh/km,2965 kg,0,126,380,494,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Rolls-Royce-Spectre/Rolls-Royce-Spectre-01-thumb.jpg,https://ev-database.org/
Tesla,Model Y Long Range RWD,"€49,970","€49,990","£46,990",113,455 km,75.0 kWh,165 Wh/km,1959 kg,1600,124,971,535,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Tesla_Model_Y/Tesla_Model_Y-01-thumb.jpg,https://ev-database.org/
BYD,ATTO 2,No disponible,No disponible,No disponible,130,245 km,45.1 kWh,184 Wh/km,1645 kg,750,51,400,235,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BYD_ATTO_2/BYD_ATTO_2-01-thumb.jpg,https://ev-database.org/
Volkswagen,ID.7 Pro,No disponible,No disponible,No disponible,114,475 km,77.0 kWh,162 Wh/km,2172 kg,1000,125,532,541,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Volkswagen_ID7/Volkswagen_ID7-01-thumb.jpg,https://ev-database.org/
Tesla,Model 3 Standard Range Plus,"€46,380","€49,995","£40,490",149,320 km,49.0 kWh,153 Wh/km,1684 kg,1000,105,542,389,,,No disponible,5,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Tesla_Model_3/Tesla_Model_3-01-thumb.jpg,https://ev-database.org/
Skoda,Elroq 60,No disponible,No disponible,No disponible,109,350 km,59.0 kWh,169 Wh/km,1978 kg,1000,110,470,405,,,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Skoda_Elroq_2024/Skoda_Elroq_2024-01-thumb.jpg,https://ev-database.org/
Mercedes-Benz,EQB 250+,No disponible,No disponible,No disponible,136,415 km,70.5 kWh,170 Wh/km,2105 kg,1400,90,495,414,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Mercedes_EQB_2024/Mercedes_EQB_2024-01-thumb.jpg,https://ev-database.org/
BYD,ATTO 3 (MY25),No disponible,No disponible,No disponible,121,340 km,60.5 kWh,178 Wh/km,1825 kg,750,75,440,348,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BYD_ATTO_3_2025/BYD_ATTO_3_2025-01-thumb.jpg,https://ev-database.org/
Renault,Scenic E-Tech EV87 220hp,No disponible,No disponible,No disponible,100,480 km,87.0 kWh,181 Wh/km,1917 kg,1100,95,545,481,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Renault_Scenic_ETech/Renault_Scenic_ETech-01-thumb.jpg,https://ev-database.org/
Tesla,Model Y Long Range AWD,"€55,970","€52,990","£51,990",126,445 km,75.0 kWh,169 Wh/km,2054 kg,1600,124,971,524,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Tesla_Model_Y/Tesla_Model_Y-01-thumb.jpg,https://ev-database.org/
MG,ZS EV Long Range,"€37,990",No disponible,No disponible,105,370 km,68.3 kWh,185 Wh/km,1695 kg,500,82,448,352,No disponible,No disponible,No disponible,-1,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/MG_ZS_EV_2022/MG_ZS_EV_2022-01-thumb.jpg,https://ev-database.org/
Renault,Zoe ZE50 R110,"€36,840","€34,895","£29,095",111,315 km,52.0 kWh,165 Wh/km,1577 kg,0,41,338,274,No disponible,No disponible,No disponible,0,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Renault_Zoe_2020/Renault_Zoe_2020-01-thumb.jpg,https://ev-database.org/
Mercedes-Benz,EQC 400 4MATIC,"€66,069","€73,216","£74,330",202,370 km,80.0 kWh,216 Wh/km,2495 kg,1800,100,500,366,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Mercedes_EQC/Mercedes_EQC-01-thumb.jpg,https://ev-database.org/
